repo	bucket	reason	eda_kinds	module_dirs	description
scanner-darkly/two-one	IN	design files present		1	files to DIY two > one eurorack module
bpcmusic/telex	IN	design files present	eagle	2	Open source modules for Monome's Teletype interface and expansion
Testbild-synth/Hagiwo_009_030_sequencer	IN	design files present	kicad,easyeda	2	Through-hole PCB conversion of HAGIWO's 6 channel eurorack gate sequencer
vonkonow/LEET-Modular	IN	design files present		2	Versatile, affordable and powerful generic eurorack module
Testbild-synth/HAGIWO-029-033-Eurorack-quantizer	IN	design files present	kicad	2	Through hole PCB version of HAGIWO Dual Quantizer/SH101 Sequencer Eurorack Module
ishkabbible/TAM_V3	IN	design files present	kicad	1	Triple Attenuverting Mixer, Version 3
spielhuus/elektrophon	IN	design files present	kicad,diylc	44	Modular analog electro acoustic noise machine
ltrooney/diy-synth	IN	design files present	kicad	7	Utilities for DIY Eurorack synthesizer including virtual wavetable oscillator and step sequencer
tpcarlson/synth-diy	IN	design files present	kicad	27	Mostly Eurorack projects
dchwebb/Kishoof	IN	design files present	kicad	5	Eurorack Wavetable Synthesizer with dual channel and 64MB internal storage
dchwebb/Addatone	IN	design files present	kicad	3	Eurorack Additive Oscillator based on Lattice FPGA and ARM MCU
dchwebb/Ampelope	IN	design files present	kicad	1	Eurorack amplitude tool
dchwebb/Spectralist	IN	design files present	kicad	4	Eurorack Additive Synthesizer
dchwebb/DisPhaze	IN	design files present	kicad	4	Eurorack Phase Distortion Oscillator module
shaduzlabs/pink-0	IN	design files present	eagle	1	Ableton Link to clock/reset signals converter
seismicindustries/spink0	IN	design files present	kicad,eagle	4	eurorack clk / rst generator for ableton LINK - based on pink-0
TomWhitwell/TuringMachine	IN	design files present	eagle	3	Turing Machine Mk 2 Main Module
DenBelmans/Eurorack-Dual-VCA	IN	design files present	kicad	1	An 8hp dual VCA module for Eurorack. Based on Electricdruids 'Vintage VCA'.
Schreibmaschine-Berlin/eurorack	IN	design files present	kicad	10	NONE
acobley/Analog-Voice	IN	design files present	eagle	14	NONE
atoav/TH-VCO1	IN	design files present	eagle	1	NONE
KittenVillage/Benjolin	IN	design files present	eagle	1	SMT Benjolin. Strictly for non-commercial use.
bmoren/two-tone	IN	design files present	kicad	4	2X passive LPG&LPF with DIY vactrols
BruteClaw/Analog-Synth	IN	design files present	kicad	60	EuroRack sytle analog synthasizer designs
AidanTek/ElectricNoodleBox	IN	design files present	eagle	29	Open Source Hardware from/with Electric Noodle Box
drahosj/VCO-1	IN	design files present	kicad	1	VCO based on Thomas Henry VCO-1
Nagasaki45/eurorack	IN	design files present	eagle	4	Some eurorack modules designs
508-loop-detected/precision-adder	IN	design files present		1	Precision Adder
508-loop-detected/burst	IN	design files present		1	4HP burst generator
508-loop-detected/minibounce	IN	design files present		1	Mini (10HP) version of the popular bounce sequencer
508-loop-detected/quant	IN	design files present		1	it's a quantizer
soundslikefrank/grow	IN	design files present	kicad	1	A Eurorack genetic sequencer
barnabywalters/Schraeg	IN	design files present	kicad	1	An 8HP eurorack multimode filter module based on the Bastl Cinnamon
hallmar/Eurorack-Modules	IN	design files present	kicad,eagle	7	NONE
jhbruhn/eurorack	IN	design files present	eagle	7	Eurorack Module Designs, often based on popular designs but modified to be even more...escalative.
VincentPeters/Diy-Synth-Eurorack	IN	design files present	kicad,fritzing,diylc	38	Collection of files about diy synth making, mostly eurorack format.
WiggisModular/mmc	IN	design files present	kicad	2	modular modular case
minisystem/VXO-PSU	IN	design files present	kicad	1	VXO78012 based PSU/bussboard
kevinkewang/tiny_rack	IN	user: IN for its power module (power supplies are in scope); the 3D-printed case itself is out. All design files are the power PCBs: v1 = v1/power pcb/ (tiny-psu-main + tiny-psu-exp expansion; Eagle, gerbers, BOM), v2 = v2/pcb/ (tiny-psu-core-v2 + psu_v2_170 / psu_v2_250 expansion boards; Eagle, SMT BOMs, gerbers). Merge v1/v2 only if the circuit matches. moduledirs mis-splits this repo	eagle	5	eurorack case with power.
M4ngu/Sweet-Sixteen	IN	design files present	eagle	1	Sweet Sixteen eurorack module by Tesseract Modular
M4ngu/FranKinksTides	IN	design files present	eagle	5	Eurorack
bpcmusic/TXb	IN	"user: IN - an i2c expander module for Teletype (TELEXb, 2HP), not a power bus board. Type of Module should say so, e.g. ""i2c expander (Teletype)"""	eagle	1	TELEXb 2HP Bus Board Module
miotislucifugis/Telex_teensy4	OUT	firmware/software only, no design files		0	An adaptation of bpcmusic's Telex Teletype Expanders for Teensy 4
attowatt/i2c2midi	IN	design files present	eagle	2	i2c2midi is a DIY open source 2 HP Teletype Expander that speaks I2C and MIDI.
joranvg/test-3	IN	design files present		1	Test 3 Eurorack V/mA Meter
rppicomidi/midi2usbhost	OUT	firmware/software only, no design files		0	Make a Raspberry Pi Pico a USB Host to bridge modern USB MIDI to old school MIDI IN and MIDI OUT
JMHanson4/Miasma_1.03_Revised	IN	design files present	kicad	5	NONE
coriolisinstruments/EurorackModules	IN	design files present	kicad,eagle	19	Open-source eurorack synthesizer modules and related stuff.
motovilo/eurorack-diy	IN	design files present	eagle	5	DIY eurorack modules
DJmerkury/SoundFlask	IN	design files present	eagle	8	Eurorack Modular Synthesizer Projects
svgeesus/ondesModulaire	IN	design files present	eagle	5	Eurorack analog synth implementation of ondes Martenot
yorkmodular-cc/resonant-filters	IN	design files present	kicad	1	2HP resonant filters (low-pass, bandpass, high-pass)
cctvfm/quadtec101	IN	design files present	eagle	1	A Quad Panning Oscillator designed for the Neuztec 4 Festival
StudioKAT/VintageDualVCA	IN	design files present	kicad	2	NONE
StudioKAT/Toolbox	IN	design files present	kicad	4	NONE
StudioKAT/DualTimbre	IN	design files present	kicad	4	NONE
caseyjholmes/HMLFO	IN	design files present	eagle	1	Holmes Modular 2HP Eurorack Module Version of Niklas Rohnnberg's Analog LFO.. with PSI Power
Allen-Synthesis/Kompari	IN	design files present	kicad	1	A comparator module for Eurorack
abluenautilus/Tap-O-Matic-DDV	IN	design files present	kicad	1	Divkid Discord Version of the Tap-O-Matic take on the OAM Time Machine
rob-scape/daisy-seed-breakout-boards	IN	design files present		4	NONE
4ms/SWN	IN	design files present	kicad	2	Spherical Wavetable Navigator source code
whimsicalraps/RIP_DIY	IN	design files present	eagle	1	Instructions for Building RIP
Testbild-synth/sigma-squared	IN	design files present	easyeda	1	Sigma2 is a shameless open source through hole reimagining of the popular Make Noise Maths eurorack module.
robgmsn/gmsn	IN	design files present	eagle	2	SDIY
pixiemars/GMSNPure	REVIEW	hardware present only as archives or documents - needs a look		0	Schematics, BOMS and build guides for GMSN pure, incomplete, will add more as I get it.
MidiverseModular/MVM006_LFO	IN	design files present		1	NONE
MidiverseModular/MVM025_DiodeFilter	IN	design files present		1	NONE
MidiverseModular/MVM_OOAK_Project	IN	design files present		5	NONE
clacktronics/EuroClack_BYOM_Modules	IN	design files present	kicad	22	NONE
