id	file	result	measured
p224	Board_Images/vco1-board-panel.jpg	drop	flat panel artwork (JPEG named panel) n95=21 white=0.00 soft=0.037 strong=0.089
p224	Board_Images/vco1-board-pots.jpg	keep	n95=29 white=0.00 soft=0.042 strong=0.107
p224	Board_Images/vco1-board-pots.png	drop	flat graphic n95=26 white=0.00 soft=0.044 strong=0.107
p224	Collateral/340-3094-3906.jpg	keep	n95=20 white=0.79 soft=0.039 strong=0.158
p224	Panel_Renders/VCO1-render2.jpg	keep	n95=10 white=0.00 soft=0.042 strong=0.085
p224	Panel_Renders/VCO1-render3.jpg	keep	n95=27 white=0.00 soft=0.044 strong=0.081
p225	render.png	drop	flat graphic n95=3 white=0.38 soft=0.010 strong=0.039
p226	render.png	drop	flat graphic n95=12 white=0.56 soft=0.039 strong=0.167
p227	render.png	drop	flat graphic n95=13 white=0.52 soft=0.034 strong=0.184
p229	images/readme/bastl-citadel-debug-1.jpg	keep	n95=86 white=0.48 soft=0.143 strong=0.126
p229	images/readme/bastl-citadel-debug-2.jpg	keep	n95=46 white=0.58 soft=0.089 strong=0.098
p229	images/readme/bastl-citadel-wavebard.png	keep	n95=85 white=0.01 soft=0.085 strong=0.183
p232	nearnessatt.jpg	keep	n95=199 white=0.06 soft=0.092 strong=0.109
p233	Photos/basic-bipolar-input-eurorack-power-supply.jpg	keep	n95=109 white=0.61 soft=0.063 strong=0.067
p233	Renderings/basic-bipolar-input-eurorack-power-supply_B.png	drop	flat graphic n95=25 white=0.01 soft=0.068 strong=0.051
p233	Renderings/basic-bipolar-input-eurorack-power-supply_F.png	drop	flat graphic n95=41 white=0.05 soft=0.046 strong=0.090
p234	Photos/basic-eurorack-power-supply.jpg	keep	n95=296 white=0.07 soft=0.146 strong=0.109
p234	Renderings/basic-eurorack-power-supply_B.png	drop	flat graphic n95=18 white=0.00 soft=0.063 strong=0.043
p234	Renderings/basic-eurorack-power-supply_F.png	drop	flat graphic n95=29 white=0.04 soft=0.040 strong=0.069
p235	pictures/eurorack_bus_board_v010_assembled.jpg	keep	n95=18 white=0.00 soft=0.030 strong=0.058
p235	pictures/eurorack_bus_board_v010_pcb_top.jpg	keep	n95=19 white=0.47 soft=0.019 strong=0.072
p241	hardware/Cascadence_Render.png	drop	flat graphic n95=16 white=0.18 soft=0.042 strong=0.217
p242	quadtec--features-01.png	drop	flat graphic n95=10 white=0.69 soft=0.019 strong=0.091
p243	3d_viewer.jpg	keep	n95=31 white=0.07 soft=0.042 strong=0.126
p243	ilse2.png	keep	n95=64 white=0.02 soft=0.036 strong=0.073
p243	ilse3.png	keep	n95=70 white=0.00 soft=0.080 strong=0.071
p243	ilse4.png	keep	n95=108 white=0.00 soft=0.065 strong=0.084
p244	heptaphasis_panel.jpg	keep	n95=69 white=0.00 soft=0.102 strong=0.114
p244	heptaphasis_waves.png	drop	flat graphic n95=117 white=0.71 soft=0.104 strong=0.235
p244	kopimi.gif	drop	flat graphic n95=14 white=0.12 soft=0.052 strong=0.363
p245	images/Eurorack_PD_USB_Back.jpg	keep	n95=86 white=0.00 soft=0.099 strong=0.053
p245	images/Eurorack_PD_USB_Front.jpg	keep	n95=122 white=0.02 soft=0.109 strong=0.076
p245	images/Test.jpg	keep	n95=139 white=0.00 soft=0.186 strong=0.055
p247	img/HEAR-3d.jpg	keep	n95=40 white=0.01 soft=0.044 strong=0.078
p247	img/HEAR-proto.jpg	keep	n95=55 white=0.00 soft=0.163 strong=0.038
p248	hardware/antumbra/ANTUMBRA-STRAMPLER.png	drop	flat graphic n95=6 white=0.01 soft=0.045 strong=0.034
p249	pictures/ampelope_back.jpg	keep	n95=224 white=0.00 soft=0.113 strong=0.156
p249	pictures/ampelope_front.jpg	keep	n95=129 white=0.00 soft=0.106 strong=0.159
p254	images/IMG_1315.jpeg	keep	n95=68 white=0.01 soft=0.245 strong=0.075
p254	images/IMG_1316.jpeg	keep	n95=101 white=0.01 soft=0.218 strong=0.052
p254	images/IMG_1317.jpeg	keep	n95=92 white=0.00 soft=0.228 strong=0.048
p254	images/IMG_1318.jpeg	keep	n95=72 white=0.00 soft=0.196 strong=0.118
p254	images/IMG_1319.jpeg	keep	n95=68 white=0.01 soft=0.185 strong=0.084
p254	images/IMG_1320.jpeg	keep	n95=295 white=0.00 soft=0.165 strong=0.096
p254	images/IMG_1321.jpeg	keep	n95=310 white=0.02 soft=0.156 strong=0.068
