repo	module_scope	board_files	name_groups	guess	pooled_verdict	counted_files	superseded
tpcarlson/synth-diy	logic	3	2	sub-boards	both	main.kicad_pcb, mini-board.kicad_pcb, panel.kicad_pcb	
tpcarlson/synth-diy	lpg	3	2	sub-boards	THT	lpg-board.kicad_pcb, lpg-panel.kicad_pcb, lpg.kicad_pcb	
tpcarlson/synth-diy	multimult	3	2	sub-boards	both	multimult-board.kicad_pcb, multimult.kicad_pcb, multmult-panel.kicad_pcb	
tpcarlson/synth-diy	pentanoise	3	2	sub-boards	THT	pentanoise-board.kicad_pcb, pentanoise-panel.kicad_pcb, pentanoise.kicad_pcb	
tpcarlson/synth-diy	slew-limiter	3	2	sub-boards	both	slew-limiter-board.kicad_pcb, slew-limiter-panel.kicad_pcb, slew-limiter.kicad_pcb	
tpcarlson/synth-diy	vcadsr	3	2	sub-boards	both	vcadsr-board.kicad_pcb, vcadsr-panel.kicad_pcb, vcadsr.kicad_pcb	
vauxflores/Electronics	XimeTron/XT-02_Eyecillator	2	2	sub-boards	THT	XT-02_Eyecillator_CEMC.brd, XT-02_Eyecillator.brd	
vauxflores/Electronics	XimeTron/XT-03_Bit Reducer	2	2	sub-boards	both	XT-03_Bit Reducer_CEMC.brd, XT-03_Bit Reducer.brd	
wntrblm/Sol	hardware/rev1	4	3	sub-boards	SMD	jackboard.kicad_pcb, mainboard.kicad_pcb, panel.kicad_pcb, programming-board.kicad_pcb	
DenBelmans/Eurorack-Dual-VCA	.	3	2	unclear-pair	THT	VCAbottom.kicad_pcb, VCApanel.kicad_pcb, VCAtop.kicad_pcb	
RebelTechnology/RebelTechnology	BipolarMixer	2	2	unclear-pair	both	Bipolar Matrix Mixer 4x2.brd, LinearOptoMixer.brd	
RebelTechnology/RebelTechnology	CLK	2	2	unclear-pair	THT	CLK.brd, ClockGenerator.brd	
RebelTechnology/RebelTechnology	Chronos	2	2	unclear-pair	both	Chronos.brd, TapTempoMini.brd	
RebelTechnology/RebelTechnology	Mix01	2	2	unclear-pair	SMD	HeadphoneMixer.brd, LinearMixer.brd	
RebelTechnology/RebelTechnology	Mix02	2	2	unclear-pair	SMD	DualPanningMixer.brd, PanningMixer.brd	
RebelTechnology/RebelTechnology	OwlRack	2	2	unclear-pair	THT	BollardsAux.brd, OwlRack.brd	
RebelTechnology/RebelTechnology	VactrolMixer	2	2	unclear-pair	both	Mod Matrix Mixer 2x4x2.brd, VactrolMixer.brd	
RebelTechnology/RebelTechnology	Wizard	2	2	unclear-pair	both	EuroWizard.brd, Wizard.brd	
Testbild-synth/HAGIWO-005-Eurorack-sequencer	.	2	2	unclear-pair	THT	hagiwo_genseq.kicad_pcb, main_pcb_v1_1.kicad_pcb	
ThisIsNotRocketScience/Eurorack-Modules	RobGould	2	2	unclear-pair	both	PowerBus.brd, SampleThing.brd	
VincentPeters/Diy-Synth-Eurorack	LFO/LMNC - 1145 Kosmo Vclfo	2	2	unclear-pair	THT	LFO/LMNC - 1145 Kosmo Vclfo/LFO+BOM.csv, LFO/LMNC - 1145 Kosmo Vclfo/PCB/LFO BOM.csv	
dchwebb/DisPhaze	.	3	2	unclear-pair	SMD	DisPhaze.kicad_pcb, DisPhaze_Panel.kicad_pcb, Disphaze_Larger_MCU_Pads.kicad_pcb	
kraakenstuff/PSU	.	2	2	unclear-pair	THT	PSU - Filter.kicad_pcb, PSU - Transformer.kicad_pcb	
kraakenstuff/PSU-1.5A	.	2	2	unclear-pair	THT	PSU - 1.5A.kicad_pcb, PowerBus.kicad_pcb	
microresearch/allcolours	TOAD	2	2	unclear-pair	SMD	toad2.kicad_pcb, testsother.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Slim Line/Sample&Hold	2	2	unclear-pair	THT	Sample&Hold Front.kicad_pcb, S&H Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Standard Line/Atari Punk Console	2	2	unclear-pair	THT	Atari Punk Console Front.kicad_pcb, APC Eurorack Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Standard Line/LFO	2	2	unclear-pair	SMD	Haraldswerk NGF-E LFO Front.kicad_pcb, LFO Main.kicad_pcb	
oamodular/uncertainty	hardware/4hp-diy-uncertainty	2	2	unclear-pair	THT	DIY Plate.kicad_pcb, DIY Uncertainty.kicad_pcb	
raphschwarz/Circuit-Abbey-G8-DIY-EDIT	.	2	2	unclear-pair	both	G8CntlA (109,5x19).brd, G8MainA (99,5x31).brd	
svgeesus/ondesModulaire	keyboard	2	2	unclear-pair	both	dac2b-only.brd, matrix-only.brd	
tpcarlson/synth-diy	mix	3	2	unclear-pair	THT	mix-logic.kicad_pcb, mix-panel.kicad_pcb, mix.kicad_pcb	
whimsicalraps/RIP_DIY	.	2	2	unclear-pair	SMD	rip_base_2018.brd, rip_head_2018.brd	
yorkmodular-cc/resonant-filters	.	2	2	unclear-pair	SMD	mfrhp.kicad_pcb, resonant-bp.kicad_pcb	
VincentPeters/Diy-Synth-Eurorack	LFO/nickajeglin - util_LFO	2	1	variants	both	util_LFO.kicad_pcb, util_lfo_stripboard.kicad_pcb	
nickajeglin/Eurorack-pcbs	util_LFO	2	1	variants	both	util_LFO.kicad_pcb, util_lfo_stripboard.kicad_pcb	
