repo	module_scope	board_files	name_groups	guess	pooled_verdict	counted_files	superseded
GroundGrown/eurorack-modules	.	72	39	collection	both	 AC mixer v2 PANEL.brd,  DC mixer v2 PANEL.brd, 2PLUS Osc Breakout Euro PANEL.brd, 2PLUS Osc Breakout Euro.brd, AC mixer v2.brd, ADSR 7555 CTRL.brd, ADSR 7555 MAIN.brd, ADSR 7555 PANEL v1.brd, AOC v1 PANEL.brd, AOC v1.brd, ATVS 1U PANEL.brd, Angelo Dual Filter CTRL v1.1.brd, Angelo Dual Filter MAIN v1.brd, Angelo Dual Filter PANEL v1.1.brd, Attenuverting Mixer Slim Front Panel v1.brd, Attenuverting Mixer Slim main v1.brd, Attenuverting mixer mutes PANEL.brd, Attenuverting mixer mutes.brd, Buffered Mult PANEL.brd, DLPG PANEL v1.1.brd, DLPG ctrl v3.brd, DLPG main v3.brd, Delay.Chorus PT2399 CTRL.brd, Delay.Chorus PT2399 MAIN v1.1.brd, Delay.Chorus PT2399 PANEL.brd, Dual VCLFO CTRL.brd, Dual VCLFO MAIN.brd, Dual VCLFO PANEL.brd, Four Monks Expander 1 (mix lvl) PANEL.brd, Four Monks Expander 1 (mix lvl).brd, Gate to Trig Converter PANEL V1.brd, Gate to Trig Converter V1.brd, MAYO 1U PANEL.brd, Melting Point Panel.brd, Melting Point.brd, Noise Percussion PANEL.brd, Noise Percussion ctrl.brd, Noise Percussion main.brd, Oscillator Core Sch.brd, Output Mixer PANEL v1.brd, Output Mixer v1.1.brd, Passive Attn PANEL.brd, Passive Attn.brd, Passive Mult PANEL.brd, Passive Mult.brd, Quad VCA (no pots) CTRL v1.brd, Quad VCA (no pots) PANEL v1.brd, Quad VCA CTRL v1.brd, Quad VCA MAIN v1.brd, Quad VCA PANEL v1.brd, Slew and Hold PANEL v1 .brd, Slew and Hold v1.brd, Slim Attenuverting Mixer PANEL v1.1.brd, Trig to Gate Converter PANEL V1.brd, Trig to Gate Converter ctrl V1.brd, Trig to Gate Converter main V1.brd, Utility Module PANEL.brd, Utility Module.brd, VC Panning Mixer CTRL.brd, VC Panning Mixer PANEL.brd, VC Panning Mixer main.brd, Wave Fold Osc CTRL V2.brd, Wave Fold Osc MAIN V2.1.brd, Wave Fold Osc PANEL V1.brd, buffered multiple 1U PANEL.brd, buffered multiple.brd, gate delay v2 PANEL.brd, gate delay v2 ctrl.brd, gate delay v2 main.brd, mixer 4x1 PANEL v1.brd, mixer 4x1 v1.brd	DLPG PANEL.brd
L71/small_projects	.	12	12	collection	both	4xjacks_breakout.brd, CS4354_breakout.brd, Euro5VDCDC.brd, Eurorack_breadboard_PSU_ad.brd, Eurorack_current_measure_PCB.brd, Eurorack_mini_psu.brd, Eurorack_passive_dist.brd, PassiveLPG.brd, TL2285_labpcb.brd, tact_sw_breakout.brd, touchpad_brk.brd, usb_dcdc_12v_power.brd	
RebelTechnology/RebelTechnology	Adapters	4	4	collection	both	IcspAdapter.brd, SwdAdapter.brd, UsbC.brd, UsbEuroPowerAdapter.brd	
RebelTechnology/RebelTechnology	BalancedIO	3	3	collection	THT	BalancedInputOutput.brd, DualBalancedInput.brd, DualBalancedOutput.brd	
RebelTechnology/RebelTechnology	OWL	3	3	collection	both	controller.brd, owl-digital.brd, owl.brd	
RebelTechnology/RebelTechnology	OwlPedal	6	6	collection	both	MechanicalBypass.brd, OwlPedal2.brd, RelayBypass.brd, SwitchBypass.brd, owl-analog.brd, stomp.brd	
RebelTechnology/RebelTechnology	PowerBoard	8	8	collection	both	MiniDC.brd, MiniDC2.brd, PowerBoard.brd, PowerKit.brd, PowerKitPTH.brd, PowerTXBoard.brd, RectifierBoard.brd, TransformerBoard.brd	
RebelTechnology/RebelTechnology	QuantumEntaglement	3	3	collection	both	miniosc.brd, oscboard.brd, scanner.brd	
RebelTechnology/RebelTechnology	Slices	3	3	collection	SMD	OutputSlice.brd, ReturnSlice.brd, SendSlice.brd	
RebelTechnology/RebelTechnology	Tonic	4	4	collection	both	BinaryEnvelope.brd, Root.brd, ToggleTone.brd, Tonic.brd	
