creator,Module Name,Type of Module,License,schematic?,layout,components,link,notes
Circuit Abbey + raphschwarz,G8 (DIY edit),clock divider,,x,eagle,both,https://github.com/raphschwarz/Circuit-Abbey-G8-DIY-EDIT,
reidevries,optofilter,"VCF (Sallen-Key, optocoupler)",GPL v3,x,eagle,both,https://github.com/reidevries/optofilter,
reidevries,shiitakevm,multiplexer / waveshaper / crossfader (CV-addressed),,x,eagle,both,https://github.com/reidevries/shiitakevm,
seismicindustries,IPS2,"power supply (USB-C, interruptible)",,x,kicad,both,https://github.com/seismicindustries/IPS2,
shaduzlabs,pink-0,Ableton Link to clock / reset,CC BY-NC-SA 3.0 (hardware),x,eagle,SMD,https://github.com/shaduzlabs/pink-0,
shannon-greenlight,The Melper,power supply (Moog case to Eurorack),GPL v3,x,kicad + gerbers,both,https://github.com/shannon-greenlight/Melper,
Mannequins + sonocircuit,EXI[S]T,output module (transformer),,x,eagle,THT,https://github.com/sonocircuit/EXIST-RIP/tree/master/EXIST-EAGLE%20FILES,adaptation of Mannequins RIP (https://github.com/whimsicalraps/RIP_DIY)
soundslikefrank,GROW,sequencer (genetic),GPL v3,x,kicad,SMD,https://github.com/soundslikefrank/grow,
terrabite3,BB8 Sequencer,"sequencer (Baby 8, 8-step)",,https://github.com/terrabite3/BB8/blob/main/BB8_schematic.pdf,easyEDA + gerbers,,https://github.com/terrabite3/BB8,
YuSynth + thismatters,Clock Divider (type 2),clock divider,,x,kicad,SMD,https://github.com/thismatters/EurorackClockDiv2,
Music Thing Modular + thismatters,Turing Machine,random looping sequencer (Turing Machine),CC BY-SA 3.0,x,kicad,both,https://github.com/thismatters/EurorackTuringMachine,
Buchla + triglav-modular,208 Timbre Workshop,wave folder (Buchla 208 timbre section),,https://github.com/triglav-modular/208_Timbre_Workshop/blob/main/Schematics/208_Timbre_Workshop_Schematic.pdf,kicad,THT,https://github.com/triglav-modular/208_Timbre_Workshop,
westlicht,PER|FORMER,"sequencer (performance, multi-track)",CC BY-NC-SA 4.0,x,kicad + gerbers,SMD,https://github.com/westlicht/performer-hardware,firmware: https://github.com/westlicht/performer
whimsicalraps,RIP,output module (transformer),,x,eagle,SMD,https://github.com/whimsicalraps/RIP_DIY,Mannequins RIP (Whimsical Raps)
yorkmodular,C7H5NO3S,harmonic enhancer,,,,THT,https://github.com/yorkmodular/C7H5NO3S,
Korg + yorkmodular,YaVCF,VCF (MS-20 style),,https://github.com/yorkmodular/yavcf/blob/main/yavcf-schematic.png,,,https://github.com/yorkmodular/yavcf,
4ms Company,QPLFO,"LFO (quad, pingable)",,https://github.com/4ms/QPLFO-v22/blob/master/hardware/qplfo_v22_schematic.pdf,kicad,SMD,https://github.com/4ms/QPLFO-v22/tree/master/hardware/kicad%20v5,
4ms Company,Stereo Triggered Sampler,"sampler (stereo, triggered)",MIT,https://github.com/4ms/STS/blob/master/hardware/STS-v1.2b-schematic.pdf,,,https://github.com/4ms/STS,
4ms Company,Spherical Wavetable Navigator,wavetable oscillator (spherical),MIT,https://github.com/4ms/SWN/blob/master/hardware/SWN-schematic-v1.1.pdf,kicad,SMD,https://github.com/4ms/SWN/tree/master/hardware/Kicad%20project/SWN%20v1.1,
4ms Company,Rotating Clock Divider (RCD),clock divider (rotating),CC BY-NC-SA 4.0,https://github.com/4ms/pcb-RCD-SCM-clocker/blob/master/pcb-v1.2/clocker-schematic-1.png,kicad,SMD,https://github.com/4ms/pcb-RCD-SCM-clocker/tree/master/pcb-v1.2,same PCB as Shuffling Clock Multiplier (SCM)
4ms Company,Shuffling Clock Multiplier (SCM),clock multiplier (shuffling),CC BY-NC-SA 4.0,https://github.com/4ms/pcb-RCD-SCM-clocker/blob/master/pcb-v1.2/clocker-schematic-1.png,kicad,SMD,https://github.com/4ms/pcb-RCD-SCM-clocker/tree/master/pcb-v1.2,same PCB as Rotating Clock Divider (RCD)
Allen Synthesis,EuroPi (surface-mount),programmable module (Raspberry Pi Pico),CC0,x,kicad,SMD,https://github.com/Allen-Synthesis/EuroPi/tree/main/hardware/surface-mount,See alt. version: EuroPi (through-hole)
Allen Synthesis,EuroPi (through-hole),programmable module (Raspberry Pi Pico),CC0,https://github.com/Allen-Synthesis/EuroPi/blob/main/hardware/through-hole/europi-through-hole-schematic.pdf,,THT,https://github.com/Allen-Synthesis/EuroPi/tree/main/hardware/through-hole,See alt. version: EuroPi (surface-mount)
Andreas-Dorfner,Powerline USB-C,"power supply (USB-C, front entry)",CERN-OHL-P v2,x,kicad,SMD,https://github.com/Andreas-Dorfner/Powerline-USB-C/tree/main/Powerline-USB-C,
BelaPlatform,Gliss,touch controller (CV),CC BY-SA,x,kicad,SMD,https://github.com/BelaPlatform/gliss-hardware/tree/public/gliss_main,firmware: https://github.com/BelaPlatform/gliss-firmware
DIYSynthMNL,Eurorack 2164 Quad Exponential VCA,"VCA (quad, exponential, AS2164)",,https://github.com/DIYSynthMNL/Eurorack-2164-Quad-Exponential-VCA/blob/main/Schematic%20PDFs/Eurorack-2164-Quad-Exponential-VCA-Schematic-Rev0.1.4.pdf,,,https://github.com/DIYSynthMNL/Eurorack-2164-Quad-Exponential-VCA,
