creator,Module Name,Type of Module,License,schematic?,layout,components,link,notes
,,,,x | n/a,kicad | eagle,THT | SMD,,
Rene Schmitz,YASH,S&H,,x,n/a,n/a,https://www.schmitzbits.de/sah.html,See alt. versions from Divergent Waves or Eddy Bergman
Rene Schmitz + Divergent Waves,YASH (modified),S&H,CC BY-NC-SA 4.0,,kicad ,THT,https://github.com/tpcarlson/synth-diy/tree/main/yash,
Rene Schmitz + Eddy Bergman,YASH (modified),S&H,,x,stipboard,THT,https://www.eddybergman.com/2023/03/revisedsampleandhold.html,
m0xpd,Sample and Hold,S&H,,x,eagle,THT,https://github.com/m0xpd/sample-and-hold/tree/main/PCB,
YuSynth,,S&H,,x,,,https://yusynth.net/Modular/EN/NOISE/index.html,
YuSynth + thismatters,SampleHold,S&H,,x,kidcad,SMD,https://github.com/thismatters/EurorackSampleHold,based on YuSynth design
Mutable Instruments,Kinks,S&H / Noise / Rectifier / Logic,,x,eagle,SMD,,
Mutable Instruments + Karltron ,Crimps,S&H / Noise / Rectifier / Logic,,x,kicad,SMD,https://github.com/kstammits/crimps,
Voxmachina,Cha Cha,VC LFO,,x,easyEDA + gerbers,THT,https://github.com/musicdevghost/eurorack/tree/main/Cha%20Cha%20-%20VCLFO,
Voxmachina,Kra Pao,Resonant low pass gate,,x,easyEDA + gerbers,THT,https://github.com/musicdevghost/eurorack/tree/main/KRA%20PAO%20-%20RESONANT%20LOW%20PASS%20GATE,
Voxmachina,Leo Leo,sequencer,,x,easyEDA + gerbers,THT,https://github.com/musicdevghost/eurorack/tree/main/LEO%20LEO%20-%20MATRIX%20STAGE%20PROGRAMMER,
Voxmachina,Mak Mak,VCA (quad),,x,easyEDA + gerbers,THT,https://github.com/musicdevghost/eurorack/tree/main/Mak%20Mak%20-%20QUAD%20VCA-ATT-MIXER,
Voxmachina,Sigma,function generaor,,x,easyEDA + gerbers,THT,https://github.com/musicdevghost/eurorack/tree/main/Sigma%20-%20Function%20Generator,
Voxmachina,Tom Yum,VCO,,x,easyEDA + gerbers,THT,https://github.com/musicdevghost/eurorack/tree/main/TOM%20YUM%20-%20VCO,
Skull & Circuits,VCF-1,VCF (vactrol),,x,n/a,THT,https://www.skullandcircuits.com/shop/sc-vcf1-p-vcf-1-diy-135,See alt. versions from suessspeise or Eddy Bergman
"Skull & Circuits + suessspeise
",VCF-1 (modified),VCF (vactrol),,x,protoboard,THT,https://github.com/suessspeise/sdiy/blob/main/pdf/skull_vcf-1.pdf,
Skull & Circuits + Eddy Bergman,VCF-1 (modified),VCF (vactrol),,x,stripboard,THT,https://www.eddybergman.com/2021/07/synthesizer-build-part-43-vactrol-vcf-1.html,
York Modular,Vac LPG,LPG (vactrol/passive),,x,n/a,THT,https://github.com/yorkmodular/vaclpg-rev2/tree/main,
York Modular,Opto3.5,LPG (vactrol/passive),,x,n/a,THT,https://github.com/yorkmodular/opto3.5,
m0xpd,Flip,Bernoulli Gate,Creative Commons CC BY-SA 4.0,x,kicad + stripboard ,THT,https://github.com/m0xpd/FLIP,
m0xpd,Encore!, PT2399 delay,Creative Commons BY-SA 4.0,x,eagle,THT,https://github.com/m0xpd/encore,
thismatters,GateDelay,gate delay,,x,kicad,SMD,https://github.com/thismatters/EurorackGateDelay,based on Yusynth Gate Delay 
j. haible,ASR,Analog Shift Register,,x,n/a,n/a,http://jhaible.com/legacy/tonline_stuff/jhasr.gif,
NLC,Squid Axon,Analog Shift Register,,x,commercially available,SMD,https://www.nonlinearcircuits.com/modules/p/squid-axon,
Voxmachina,Su Su,power supply,MIT,https://github.com/musicdevghost/eurorack/blob/main/SU%20SU%20-%20POWER%20SUPPLY/Schematics/schematic.pdf,easyEDA + gerbers,,https://github.com/musicdevghost/eurorack/tree/main/SU%20SU%20-%20POWER%20SUPPLY,
Mutable Instruments + Karltron,Jinx,S&H / Noise / Rectifier / Logic,CC BY-SA,x,kicad,SMD,https://github.com/kstammits/crimps/tree/main/Jinx,Kinks clone rebuilt in KiCad at 0805; see also Crimps in same repo
dchwebb,Addatone,Additive Oscillator,,https://github.com/dchwebb/Addatone/blob/master/Hardware/Components_v2.pdf,kicad,SMD,https://github.com/dchwebb/Addatone,
Polykit,VCA-8,VCA (8-channel),,https://github.com/polykit/vca-8/blob/master/polykit-vca-8.pdf,kicad,THT,https://github.com/polykit/vca-8,based on YuSynth VCA and Kassutronics VCA designs
Fihdi,MiniDrumkit,drum (kick / hi-hat / sample player),MIT,x,kicad,SMD,https://github.com/Fihdi/MiniDrumkit/tree/main/MiniDrumkit2,
poetaster,Noodle,sequencer (CMOS),GPL,https://github.com/poetaster/noodle/blob/main/noodle_schem.jpg,fritzing + gerbers + breadboard,THT,https://github.com/poetaster/noodle,
Rob Hordijk + KittenVillage,Benjolin (modified),Benjolin,CC BY-NC 4.0,https://github.com/KittenVillage/Benjolin/blob/master/benjolin_1.6.pdf,eagle,SMD,https://github.com/KittenVillage/Benjolin,
Mutable Instruments + kweiwen,Links (modified),buffered multiple / precision adder,,https://github.com/kweiwen/thinks/blob/master/hardware/schematic/001.png,eagle,THT,https://github.com/kweiwen/thinks,
508-loop-detected,Precision Adder,precision adder,CC BY-NC-SA 4.0,https://github.com/508-loop-detected/precision-adder/blob/main/Schematic_precision-adder-final-v2.2.pdf,gerbers,both,https://github.com/508-loop-detected/precision-adder,
Testbild-synth,Krach HP,headphone output (passive),,https://github.com/Testbild-synth/headphone/blob/main/schematic.pdf,kicad + easyEDA,THT,https://github.com/Testbild-synth/headphone,"Commissioned for ""Krach der Roboter"""
Winterbloom,Castor & Pollux,"VCO (dual, Juno-inspired)",CERN-OHL-P v2 (hardware) / CC BY-SA 4.0 (panel) / MIT (firmware),https://github.com/wntrblm/Castor_and_Pollux/blob/main/hardware/mainboard/mainboard.pdf,kicad,SMD,https://github.com/wntrblm/Castor_and_Pollux,
Music Thing Modular,Workshop Computer,programmable CV / audio platform,MIT,https://github.com/TomWhitwell/Workshop_Computer/blob/main/documentation/computer_Rev_1_0_0_Schematic.pdf,,,https://github.com/TomWhitwell/Workshop_Computer,
monome,Ansible,sequencer / CV interface (grid-controlled),CC BY-SA 3.0,x,eagle,SMD,https://github.com/monome/ansible-hardware,includes the runes board (runes.brd)
Erica Synths,BBD Delay/Flanger,BBD delay / flanger (V3205),CC BY-SA 3.0,x,gerbers,THT,https://github.com/erica-synths/diy-eurorack/blob/master/BBD%20DIY.zip,
Erica Synths,Bassline,synth voice (acid bassline),CC BY-SA 3.0,x,gerbers,THT,https://github.com/erica-synths/diy-eurorack/blob/master/Bassline%20DIY.zip,
Erica Synths,Delay,"delay (tape / digital, tap tempo)","CC BY-SA 3.0 (PCBs, panel) / proprietary (DSP MCU board)",x,gerbers,THT,https://github.com/erica-synths/diy-eurorack/blob/master/Delay%20DIY.zip,requires the proprietary Erica Synths DIY Delay MCU board: https://www.ericasynths.lv/diy-delay-mcu-board-355/
Erica Synths,Dual VCA,VCA (dual),CC BY-SA 3.0,x,gerbers,THT,https://github.com/erica-synths/diy-eurorack/blob/master/Dual%20VCA%20DIY.zip,based on Polivoks design
Erica Synths,Envelope,EG (looping),CC BY-SA 3.0,x,gerbers,THT,https://github.com/erica-synths/diy-eurorack/blob/master/Envelope%20DIY.zip,based on Polivoks design
Erica Synths,MIDI-CV,MIDI-CV (dual),CC BY-SA 3.0,x,gerbers,THT,https://github.com/erica-synths/diy-eurorack/blob/master/Midi-CV%20DIY.zip,based on Polivoks design
Erica Synths,Mixer,mixer (3-ch audio),CC BY-SA 3.0,x,gerbers,THT,https://github.com/erica-synths/diy-eurorack/blob/master/Mixer%20DIY.zip,
Erica Synths,Modulator,LFO / Noise / S&H,CC BY-SA 3.0,x,gerbers,THT,https://github.com/erica-synths/diy-eurorack/blob/master/Modulator%20DIY.zip,based on Polivoks design
Erica Synths,Output,output / headphone amp,CC BY-SA 3.0,x,gerbers,both,https://github.com/erica-synths/diy-eurorack/blob/master/Output%20DIY.zip,
Erica Synths,Polivoks VCF,VCF,CC BY-SA 3.0,x,gerbers,THT,https://github.com/erica-synths/diy-eurorack/blob/master/Polivoks%20VCF%20DIY.zip,based on Polivoks design
Erica Synths,Swamp,random voltage (Wogglebug-style),CC BY-SA 3.0,x,gerbers,,https://github.com/erica-synths/diy-eurorack/blob/master/Swamp%20DIY.zip,based on Wogglebug design
Erica Synths,VCO3,VCO,CC BY-SA 3.0,x,gerbers,THT,https://github.com/erica-synths/diy-eurorack/blob/master/VCO3%20DIY.zip,based on Polivoks design
bpcmusic,TXb (TELEXb),"i2c bus board (powered, Teletype)",CC BY-SA 4.0,x,eagle + gerbers,SMD,https://github.com/bpcmusic/TXb,
Nic Newdigate,teensy eurorack audio shield,audio platform (Teensy 4.1),MIT,https://github.com/newdigate/teensy-eurorack/blob/master/hardware/docs/teensy-eurorack.pdf,kicad + gerbers,both,https://github.com/newdigate/teensy-eurorack/tree/master/hardware,firmware: https://github.com/newdigate/teensy-eurorack-software
spherical-sound-society,Vortex Generator,"function generator (dual, shift register)","open source, no licence named (firmware) / closed source (hardware, per README)",https://github.com/spherical-sound-society/vortex-generator/blob/master/Schematics_VortexGen_Rev2.02.pdf,commercially available,THT,https://github.com/spherical-sound-society/vortex-generator,"See alt. version Rev 3.0 SMD (build guide only, no schematic)"
Sam Kent,Modular Mixer,"mixer (stereo DJ, isolator + main channels)",MIT,x,kicad,SMD,https://github.com/samjkent/modular-mixer,
WiggisModular,PSU 1A,power supply (1A),,https://github.com/WiggisModular/mmc/blob/master/psu/eurorack1A/psu.pdf,kicad,THT,https://github.com/WiggisModular/mmc/tree/master/psu/eurorack1A,
WiggisModular,PSU 1A (SMD),power supply (1A),,https://github.com/WiggisModular/mmc/blob/master/psu/eurorack1A_SMD/psu1A_smd.pdf,kicad,SMD,https://github.com/WiggisModular/mmc/tree/master/psu/eurorack1A_SMD,
Rebel Technology,Mix 01,"mixer (4 in / 2 out matrix, headphone out)",GPL v2,https://github.com/pingdynasty/Mix/blob/master/hardware/LinearMixerRev04-schematic.pdf,,SMD,https://github.com/pingdynasty/Mix#mix-01,
Rebel Technology,Mix 02,"mixer (4 in / 2 out panning, headphone out)",GPL v2,https://github.com/pingdynasty/Mix/blob/master/hardware/DualPanningMixerRev02-schematic.pdf,,SMD,https://github.com/pingdynasty/Mix#mix-02,
Rebel Technology,Mix 03,"mixer (4 in mono, audio / CV)",GPL v2,https://github.com/pingdynasty/Mix/blob/master/hardware/MonoMixerRev02-schematic.pdf,,SMD,https://github.com/pingdynasty/Mix#mix-03,
Rebel Technology,Mix 04,"VCA (4 x 4 matrix, 16 VCAs)",GPL v2,https://github.com/pingdynasty/Mix/blob/master/hardware/VCAMatrixRev04-schematic-p1.pdf,,SMD,https://github.com/pingdynasty/Mix#mix-04,
Joranalogue Audio Design,Test 3,utility (V / mA meter),"CC BY-SA 4.0 (BOM, schematic) / GPL v3 (firmware)",https://github.com/joranvg/test-3/blob/master/hardware/test-3-pcb.pdf,,SMD,https://github.com/joranvg/test-3,
BruteClaw,ADSR Envelope (SMD),EG (ADSR),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Surface%20Mount%20Designes/ADSR_Envelope/Schematic.pdf,kicad + gerbers,SMD,https://github.com/BruteClaw/Analog-Synth/tree/main/Surface%20Mount%20Designes/ADSR_Envelope,See alt. version: Through Hole Designs/ADSR_Envelope_THT
BruteClaw,LFO (SMD),LFO,GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Surface%20Mount%20Designes/LFO/Schematic.pdf,kicad + gerbers,SMD,https://github.com/BruteClaw/Analog-Synth/tree/main/Surface%20Mount%20Designes/LFO,See alt. version: Through Hole Designs/LFO_THT
BruteClaw,Noise Generator (SMD),noise,GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Surface%20Mount%20Designes/Noise_Gen/Schematic.pdf,kicad + gerbers,SMD,https://github.com/BruteClaw/Analog-Synth/tree/main/Surface%20Mount%20Designes/Noise_Gen,See alt. version: Through Hole Designs/Noise_Gen_THT
BruteClaw,Notch Filter (SMD),filter (notch),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Surface%20Mount%20Designes/Notch_Filter/Schematic.pdf,kicad + gerbers,SMD,https://github.com/BruteClaw/Analog-Synth/tree/main/Surface%20Mount%20Designes/Notch_Filter,See alt. version: Through Hole Designs/Notch_Filter_THT
BruteClaw,VCF (SMD),VCF,GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Surface%20Mount%20Designes/VCF/Schematic.pdf,kicad + gerbers,SMD,https://github.com/BruteClaw/Analog-Synth/tree/main/Surface%20Mount%20Designes/VCF,See alt. version: Through Hole Designs/VCF_THT
BruteClaw,ADSR Envelope (THT),EG (ADSR),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Through%20Hole%20Designs/ADSR_Envelope_THT/Schematic.pdf,kicad + gerbers,THT,https://github.com/BruteClaw/Analog-Synth/tree/main/Through%20Hole%20Designs/ADSR_Envelope_THT,See alt. version: Surface Mount Designes/ADSR_Envelope
BruteClaw,LFO (THT),LFO,GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Through%20Hole%20Designs/LFO_THT/Schematic.pdf,kicad + gerbers,THT,https://github.com/BruteClaw/Analog-Synth/tree/main/Through%20Hole%20Designs/LFO_THT,See alt. version: Surface Mount Designes/LFO
BruteClaw,Noise Generator (THT),noise,GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Through%20Hole%20Designs/Noise_Gen_THT/Schematic.pdf,kicad + gerbers,THT,https://github.com/BruteClaw/Analog-Synth/tree/main/Through%20Hole%20Designs/Noise_Gen_THT,See alt. version: Surface Mount Designes/Noise_Gen
BruteClaw,Notch Filter (THT),filter (notch),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Through%20Hole%20Designs/Notch_Filter_THT/Schematic.pdf,kicad + gerbers,THT,https://github.com/BruteClaw/Analog-Synth/tree/main/Through%20Hole%20Designs/Notch_Filter_THT,See alt. version: Surface Mount Designes/Notch_Filter
BruteClaw,VCF (THT),VCF,GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Through%20Hole%20Designs/VCF_THT/Schematic.pdf,kicad + gerbers,THT,https://github.com/BruteClaw/Analog-Synth/tree/main/Through%20Hole%20Designs/VCF_THT,See alt. version: Surface Mount Designes/VCF
Thomas Henry + spielhuus,4046 (modified),"VCO (CMOS, CD4046)",,x,kicad,THT,https://github.com/spielhuus/elektrophon/tree/master/src/4046,
Serge + spielhuus,VCS (modified),function generator (Serge VCS),,x,kicad,THT,https://github.com/spielhuus/elektrophon/tree/master/src/VCS,based on Ken Stone CGS75 design
René Schmitz + spielhuus,ADSR (modified),EG (ADSR),,x,kicad,THT,https://github.com/spielhuus/elektrophon/tree/master/src/adsr,
Thomas Henry + spielhuus,Bass++ (modified),drum (bass),,x,kicad,THT,https://github.com/spielhuus/elektrophon/tree/master/src/basspp,
Moog + spielhuus,CP3 (modified),mixer (Moog CP3-style),,x,kicad,SMD,https://github.com/spielhuus/elektrophon/tree/master/src/cp3,
spielhuus,Digital,DCO,,x,kicad,,https://github.com/spielhuus/elektrophon/tree/master/src/digital,
spielhuus,Echo,PT2399 delay,,x,kicad,THT,https://github.com/spielhuus/elektrophon/tree/master/src/echo,
Serge + spielhuus,Resonant Equalizer (modified),resonant equalizer (Serge),,x,kicad,both,https://github.com/spielhuus/elektrophon/tree/master/src/equalizer,based on Ken Stone (CGS) design
spielhuus,Funktion,EG,,x,kicad,,https://github.com/spielhuus/elektrophon/tree/master/src/funktion,
spielhuus,Hall,spring reverb,,x,kicad,both,https://github.com/spielhuus/elektrophon/tree/master/src/hall,
Avalon Harmonics,AxB,"multiplier (4-quadrant, AD633)",CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/AxB/AxB_Schematic.pdf,kicad,both,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/AxB,
Avalon Harmonics,CVMod4,attenuverter / offset / mixer (4-ch),CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/CVMod4/CVMod4_Schematic.pdf,kicad,SMD,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/CVMod4,
Avalon Harmonics,CVMod8,attenuator / offset (8-ch),CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/CVMod8/CVMod8_Schematic.pdf,kicad,THT,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/CVMod8,
Avalon Harmonics,CVMod8 V2 (SMD),attenuverter / offset / mixer (8-ch),CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/CVMod8_V2/CVMod8_V2_Schematic.pdf,kicad,SMD,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/CVMod8_V2,See alt. version: CVMod8 V2 (THT)
Avalon Harmonics,CVMod8 V2 (THT),attenuverter / offset / mixer (8-ch),CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/CVMod8_V2/CVMod8_V2_Schematic_THT.pdf,kicad,THT,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/CVMod8_V2,See alt. version: CVMod8 V2 (SMD)
Avalon Harmonics,CVModH,attenuverter / offset / mixer (2-ch),CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/CVModH/CVModH_Schematic.pdf,kicad,SMD,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/CVModH,1U
Avalon Harmonics,KickAid,kick processor (ducking / EQ / mix),CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/KickAid/KickAid_Schematic.pdf,kicad,both,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/KickAid,
Avalon Harmonics,LOGx,"logic (dual, swappable 4000-series IC)",CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/LOGx/LOGx_Schematic.pdf,kicad,THT,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/LOGx,
Avalon Harmonics,MiX,mixer (3-ch mono),CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/MiX/MiX_Schematic.pdf,kicad,THT,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/MiX,
Avalon Harmonics,MiniDJ,crossfader / DJ filter (stereo),CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/MiniDJ/MiniDJ_Schematic.pdf,kicad,SMD,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/MiniDJ,
Avalon Harmonics,Nucleus,random trigger / gate (Geiger counter),CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/Nucleus/Nucleus_Schematic.pdf,kicad,THT,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/Nucleus,
ltrooney,MIDI to CV Converter,MIDI-CV,,x,kicad,,https://github.com/ltrooney/diy-synth/tree/master/midi-to-cv-converter,See alt. version: circuit_board_v1
ltrooney,Passive Multiple,multiple (passive),,x,kicad + gerbers,,https://github.com/ltrooney/diy-synth/tree/master/passive-multiple,
ltrooney,Sequencer,sequencer,,x,kicad + gerbers,SMD,https://github.com/ltrooney/diy-synth/tree/master/sequencer,
kevinkewang,tiny_rack PSU v1,"power supply (DC-DC, ±12V)",,x,eagle + gerbers,both,https://github.com/kevinkewang/tiny_rack/tree/main/v1/power%20pcb,
kevinkewang,tiny_rack PSU v2,"power supply (DC-DC, ±12V)",,x,eagle + gerbers,SMD,https://github.com/kevinkewang/tiny_rack/tree/main/v2,
After Later Audio,Baker,,CC BY-SA,,,SMD,https://github.com/AfterLaterAudio/Eurorack/tree/master/Baker,"based on Emilie Gillet's original design and code, and Jim Mattheson's Pique design"
After Later Audio,Popple,VCF (AS2164),,x,diptrace + gerbers,SMD,https://github.com/AfterLaterAudio/Eurorack/tree/master/Popple,
After Later Audio,Rainier,,CC BY-SA,,,SMD,https://github.com/AfterLaterAudio/Eurorack/tree/master/Rainier,"based on Emilie Gillet's original design and code, and Jim Mattheson's Pique design"
Neutron Sound,Orgone Accumulator (DIY 3.0),"VCO (digital, Teensy)",,https://github.com/jakplugg/Orgone-accumulator/blob/master/DIY3.0_SMD/DipTrace%20Schematic%20-%20orgone%20accumulatorDIY_3.pdf,commercially available,SMD,https://github.com/jakplugg/Orgone-accumulator/tree/master/DIY3.0_SMD,
Avalon Harmonics,iVCA,VCA (stereo),CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/iVCA/iVCA_Schematic.pdf,kicad,both,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/iVCA,
Avalon Harmonics,kNOT,logic (triple NOT),CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/kNOT/kNOT_Schematic.pdf,kicad,THT,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/kNOT,
Avalon Harmonics,PanVCA,VCA / panner (stereo),CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/PanVCA/PanVCA_Schematic.pdf,kicad,SMD,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/PanVCA,
Avalon Harmonics,Puff,VCF (stereo multimode),CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/Puff/Puff_Schematic.pdf,kicad,SMD,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/Puff,
Avalon Harmonics,Pulse,heartbeat to CV / gate / trigger,CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/Pulse/Pulse_Schematic.pdf,kicad,THT,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/Pulse,
Avalon Harmonics,R&F,"slew limiter (dual, rise / fall)",CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/R%26F/R%26F_Schematic.pdf,kicad,THT,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/R%26F,
Avalon Harmonics,S&S,S&H / Random / Slew / Noise,CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/S%26S/S%26S_Schematic.pdf,kicad,THT,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/S%26S,
Avalon Harmonics,VU (SMD),VU meter / envelope follower,CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/VU/VU_Schematic.pdf,kicad,both,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/VU,See alt. version: VU (THT)
Avalon Harmonics,VU (THT),VU meter / envelope follower,CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/VU/VU_Schematic_THT.pdf,kicad,THT,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/VU,See alt. version: VU (SMD)
Avalon Harmonics,WF,wavefolder,CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/WF/WF_Schematic.pdf,kicad,THT,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/WF,
Avalon Harmonics,X2,voltage doubler (4-ch),CC BY-SA 4.0,https://github.com/Thorinair/Avalon-Harmonics/blob/master/Modules/X2/X2_Schematic.pdf,kicad,SMD,https://github.com/Thorinair/Avalon-Harmonics/tree/master/Modules/X2,
BruteClaw,AND Gate (SMD),logic (AND),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Surface%20Mount%20Designes/Logic_Gates/AND/Schematic.pdf,kicad + gerbers,SMD,https://github.com/BruteClaw/Analog-Synth/tree/main/Surface%20Mount%20Designes/Logic_Gates/AND,See alt. version: Through Hole Designs/Logic_Gates_THT/AND_THT
BruteClaw,NAND Gate (SMD),logic (NAND),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Surface%20Mount%20Designes/Logic_Gates/NAND/Schematic.pdf,kicad + gerbers,SMD,https://github.com/BruteClaw/Analog-Synth/tree/main/Surface%20Mount%20Designes/Logic_Gates/NAND,See alt. version: Through Hole Designs/Logic_Gates_THT/NAND_THT
BruteClaw,NOR Gate (SMD),logic (NOR),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Surface%20Mount%20Designes/Logic_Gates/NOR/Schematic.pdf,kicad + gerbers,SMD,https://github.com/BruteClaw/Analog-Synth/tree/main/Surface%20Mount%20Designes/Logic_Gates/NOR,See alt. version: Through Hole Designs/Logic_Gates_THT/NOR_THT
BruteClaw,NOT Gate (SMD),logic (NOT),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Surface%20Mount%20Designes/Logic_Gates/NOT/Schematic.pdf,kicad + gerbers,SMD,https://github.com/BruteClaw/Analog-Synth/tree/main/Surface%20Mount%20Designes/Logic_Gates/NOT,See alt. version: Through Hole Designs/Logic_Gates_THT/NOT_THT
BruteClaw,OR Gate (SMD),logic (OR),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Surface%20Mount%20Designes/Logic_Gates/OR/Schematic.pdf,kicad + gerbers,SMD,https://github.com/BruteClaw/Analog-Synth/tree/main/Surface%20Mount%20Designes/Logic_Gates/OR,See alt. version: Through Hole Designs/Logic_Gates_THT/OR_THT
BruteClaw,XOR Gate (SMD),logic (XOR),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Surface%20Mount%20Designes/Logic_Gates/XOR/Schematic.pdf,kicad + gerbers,SMD,https://github.com/BruteClaw/Analog-Synth/tree/main/Surface%20Mount%20Designes/Logic_Gates/XOR,See alt. version: Through Hole Designs/Logic_Gates_THT/XOR_THT
BruteClaw,Patch Bay,patch bay (passive),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Surface%20Mount%20Designes/Patch_Bay/Schematic.pdf,kicad + gerbers,,https://github.com/BruteClaw/Analog-Synth/tree/main/Surface%20Mount%20Designes/Patch_Bay,See alt. version: Through Hole Designs/Patch_Bay
BruteClaw,Power Distribution (SMD),bus board,GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Surface%20Mount%20Designes/Power_Distribution/Schematic.pdf,kicad + gerbers,,https://github.com/BruteClaw/Analog-Synth/tree/main/Surface%20Mount%20Designes/Power_Distribution,See alt. version: Through Hole Designs/Power_Distribution_THT
BruteClaw,Power Supply (SMD),power supply,GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Surface%20Mount%20Designes/Power_Supply/Schematic.pdf,kicad + gerbers,SMD,https://github.com/BruteClaw/Analog-Synth/tree/main/Surface%20Mount%20Designes/Power_Supply,See alt. version: Through Hole Designs/Power_Supply_THT
BruteClaw,AND Gate (THT),logic (AND),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Through%20Hole%20Designs/Logic_Gates_THT/AND_THT/Schematic.pdf,kicad + gerbers,THT,https://github.com/BruteClaw/Analog-Synth/tree/main/Through%20Hole%20Designs/Logic_Gates_THT/AND_THT,See alt. version: Surface Mount Designes/Logic_Gates/AND
BruteClaw,NAND Gate (THT),logic (NAND),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Through%20Hole%20Designs/Logic_Gates_THT/NAND_THT/Schematic.pdf,kicad + gerbers,THT,https://github.com/BruteClaw/Analog-Synth/tree/main/Through%20Hole%20Designs/Logic_Gates_THT/NAND_THT,See alt. version: Surface Mount Designes/Logic_Gates/NAND
